,Motion/Topic,MP Response
0,WORKSHOP ON THE ROLE OF ZANACO IN THE CDF EMPOWERMENT LOAN PROGRAMME,As members CDF committees various constituencies information shared workshop beneficial success programme All hon Members Parliament therefore requested attend workshop held Wednesday 29th March 2023 Amphitheatre Parliament Main Buildings starting 0930 hours 1230 hours
1,WORKSHOP ON THE ROLE OF ZANACO IN THE CDF EMPOWERMENT LOAN PROGRAMME,However I urge hon Members attend important workshop make opportunity
2,WORKSHOP ON THE ROLE OF ZANACO IN THE CDF EMPOWERMENT LOAN PROGRAMME,I thank
3,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Mrs Nalumango Madam Speaker Government aware destruction crops houses Chama District caused Cyclone Freddy 15th 16th March 2023 The following indicates hectarage damaged crop fields number houses completely destroyed ward
4,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker immediate relief urgent measures support affected communities Chama District Government Disaster Management Mitigation Unit DMMU provided food relief items follows
5,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker addition House may wish note Chama District already received 718 metric tonnes relief maize translating bags 50 kg relief maize also covered affected areas
6,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker way detail relief maize far distributed affected households four wards follows
7,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker Office DMMU planned conduct comprehensive assessment Chama North Chama South constituencies This intended ascertain extent disasters area also map areas hard reach Recommendations comprehensive assessment used provide roadmap mount solutions
8,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker DMMU begin conducting sensitisation campaign using local structures encourage communities adhere tenets disaster risk reduction part involve encouraging communities establish residences higher ground avoid flooding
9,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Furthermore Madam Speaker Government DMMU 24th March 2023 released following items assist affected areas Eastern Province support overall preparedness region
10,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mtayachalo Madam Speaker I thank Her Honour reaction I want state Her Honour disasters happened 15th 16th March 2023 As I talking time people received help Disaster Management Mitigation Unit DMMU supposed start helping affected people Instructions came headquarters local DMMU office continue distributing relief DMMU Chipata goes effective assessment
11,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Therefore Madam Speaker people received help even I speaking So Government going ensure people helped quickly possible number high We wait officials Lusaka people sleeping hungry
12,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker hon Member bringing totally contradictory I informing House It noted information getting ground things sending We generally touch District Commissioner DC area The DC one people touch including regional coordinator
13,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker hon Member telling us different speaking people ground I wonder true information However response I contact people ground I think I given shared DMMU since cyclone came scene 15th 16th March 2023 That information I If totally contrary information hon Member I think would serious breakdown communication
14,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
15,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Chibuye Roan Madam Speaker I thankful Her Honour I want commend office Disaster Management Mitigation Unit DMMU From statement clear Government acted swiftly taking relief brothers sisters Chama North Further Her Honour mentioned statement measures Government taking
16,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I however want find Her Honour whether relief food given brothers sisters Chama North going sustain next farming season looking devastation caused fields We saw video clips people given bags mealie meal What measure Government going put place ensure relief relief instance something see next harvest season
17,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,The Madam Speaker hon Member raised issue relief I think word relief means It permanent situation whole year know example destroyed fields mean people currently food therefore come It mitigation issue people die something come
18,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I believe preparation concern This happening Chama Hon Members tell us exactly mitigation measures taking place I stand commit DMMU continue feed people whole year We going see happens Like I said assessments tell exactly really need We said fields destroyed I think information So I make commitment
19,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam whatever happened come people die instantly found outside shelter food take immediately We come continue assessment However say done throughout year something I commit We pray something permanent address situation
20,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I thank Madam Speaker
21,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mung andu Chama South Madam Speaker I thank Her Honour responses
22,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker people Chama delighted hear amount food Government giving Her Honour mentioned bottles cooking oil beans However I report Her Honour We want tell people Chama Government sending items However whether receiving items question Her Honour elected leaders
23,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Hon Members stand please ask supplementary questions Do debate It time debate If want debate move Motion Wednesday sit debate issue
24,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker yesterday day I talking district Disaster Management Mitigation Unit DMMU Chairperson District Commissioner DC I know Office President sent officer The DC indicated start helping people roads become passable It DC said I asked whether problems wait Now
25,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Hon Member Chama South please start giving evidence saying alleging spoke person Ask supplementary question please
26,IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mung andu Madam Speaker Her Honour aware help sending people yet started reaching reasons I given It possible technocrats mislead Government wonder I asking
