,Motion/Topic,MP Response,Label
0,workshop on the role of zanaco in the cdf empowerment loan programme,member cdf committee constituency information shared workshop beneficial success programme member parliament requested attend workshop held wednesday 29th march 2023 amphitheatre parliament building starting 0930 hour 1230 hour,1
1,workshop on the role of zanaco in the cdf empowerment loan programme,urge member attend important workshop make opportunity,1
2,impact of cyclone freddy on chama district,mr nalumango madam speaker government aware destruction crop house chama district caused cyclone freddy 15th 16th march 2023 indicates hectarage damaged crop field number house completely destroyed ward,1
3,impact of cyclone freddy on chama district,madam speaker immediate relief urgent measure support affected community chama district government disaster management mitigation unit dmmu provided food relief item,1
4,impact of cyclone freddy on chama district,madam speaker addition house wish note chama district received 718 metric tonne relief maize translating bag 50 kg relief maize covered affected area,1
5,impact of cyclone freddy on chama district,madam speaker detail relief maize distributed affected household ward,1
6,impact of cyclone freddy on chama district,madam speaker office dmmu planned conduct comprehensive assessment chama north chama south constituency intended ascertain extent disaster area map area hard reach recommendation comprehensive assessment provide roadmap mount solution,1
7,impact of cyclone freddy on chama district,madam speaker dmmu begin conducting sensitisation campaign local structure encourage community adhere tenet disaster risk reduction part involve encouraging community establish residence higher ground avoid flooding,1
8,impact of cyclone freddy on chama district,madam speaker government dmmu 24th march 2023 released item assist affected area eastern province support preparedness region,1
9,impact of cyclone freddy on chama district,mr mtayachalo madam speaker honour reaction state honour disaster happened 15th 16th march 2023 talking time received disaster management mitigation unit dmmu supposed start helping affected instruction headquarters local dmmu office continue distributing relief dmmu chipata effective assessment,1
10,impact of cyclone freddy on chama district,madam speaker received speaking government ensure helped quickly possible number high wait official lusaka sleeping hungry,1
11,impact of cyclone freddy on chama district,madam speaker member bringing totally contradictory informing house noted information ground thing sending generally touch district commissioner dc area dc touch including regional coordinator,1
12,impact of cyclone freddy on chama district,madam speaker member telling different speaking ground wonder information response contact ground shared dmmu cyclone scene 15th 16th march 2023 information totally contrary information member breakdown communication,1
13,impact of cyclone freddy on chama district,mr chibuye roan madam speaker thankful honour commend office disaster management mitigation unit dmmu statement clear government acted swiftly taking relief brother sister chama north honour mentioned statement measure government taking,1
14,impact of cyclone freddy on chama district,madam speaker find honour relief food brother sister chama north sustain farming season devastation caused field video clip bag mealie meal measure government put place ensure relief relief instance harvest season,1
15,impact of cyclone freddy on chama district,madam speaker member raised issue relief word relief mean permanent situation year destroyed field currently food mitigation issue,1
16,impact of cyclone freddy on chama district,madam speaker believe preparation concern happening chama member mitigation measure taking place stand commit dmmu continue feed year assessment field destroyed information make commitment,1
17,impact of cyclone freddy on chama district,madam happened instantly found shelter food immediately continue assessment year commit pray permanent address situation,1
18,impact of cyclone freddy on chama district,mr mung andu chama south madam speaker honour response,1
19,impact of cyclone freddy on chama district,madam speaker chama delighted hear amount food government giving honour mentioned bottle cooking oil bean report honour chama government sending item receiving item question honour elected leader,1
20,impact of cyclone freddy on chama district,member stand supplementary question debate time debate debate move motion wednesday debate issue,0
21,impact of cyclone freddy on chama district,madam speaker yesterday day talking district disaster management mitigation unit dmmu chairperson district commissioner dc office president officer dc indicated start helping road passable dc asked problem wait,1
22,impact of cyclone freddy on chama district,member chama south start giving evidence alleging spoke person supplementary question,0
23,impact of cyclone freddy on chama district,mr mung andu madam speaker honour aware sending started reaching reason possible technocrat mislead government wonder,1
24,impact of cyclone freddy on chama district,answer question question answer point question answer,0
25,impact of cyclone freddy on chama district,madam speaker instructed provide relief back unable hungry disaster management mitigation unit dmmu work disaster place fly chopper member bringing table happening,1
26,impact of cyclone freddy on chama district,mr munsanje mbabala madam speaker honour commend work chama mbabala disaster hakaloba kabimba area government considering improving package service provided include mattress wrapped plastic disaster sleep wet floor provided,1
27,impact of cyclone freddy on chama district,madam speaker proposal assessment point thing time disaster thing package refer send blanket chama depending type disaster place send blanket standard package ass situation give arises improve package permanent package effect,1
28,impact of cyclone freddy on chama district,mr michelo bweengwa madam speaker constituency development fund cdf component disaster bweengwa constituency flood cdf bought 200 bag mealie meal constituency cdf component disaster honourable colleague love,0
29,impact of cyclone freddy on chama district,madam speaker debated issue 5 cent constituency development fund cdf 60 cent amount quickest response constituency remember standing 5 cent 60 cent issue member quickly respond disaster 5 cent stood floor house 5 cent calculates thing quickest response 5 cent member 5 cent member run 5 cent,0
30,impact of cyclone freddy on chama district,madam speaker view situation chama district particularly chama north member agree request coming started supporting area long time ago assessed vulnerable previous season figure thing high member chama north requesting thing sending figure thing high working chama remember eating food reserve agency community sale maize chama district buy maize community sale chama access maize request local leadership including member parliament,1
31,impact of cyclone freddy on chama district,mr petauke central madam speaker giving opportunity behalf petauke central chama question,0
32,impact of cyclone freddy on chama district,convey honour petauke central chama,0
33,impact of cyclone freddy on chama district,member petauke central minute member question question,0
34,impact of cyclone freddy on chama district,mr madam speaker ichisungu ichichine echo batuma baku petauke,0
35,impact of cyclone freddy on chama district,question related question discussed bring matter honour addressed mind talking disaster caused cyclone freddy animal form part cyclone freddy question,1
36,impact of cyclone freddy on chama district,madam speaker office giving food chama affected cyclone freddy conflict honour government zambia bag maize chama relief affected cyclone freddy includes affected conflict,1
37,impact of cyclone freddy on chama district,m nyirenda lundazi madam speaker giving chance lundazi question cyclone freddy affected lundazi place warning effect child affected wise chance follow arrived feel love mother,1
38,impact of cyclone freddy on chama district,madam speaker office honour planning visit chama lundazi place cut cyclone freddy,1
